"","district","name","chamber","party","hpvi","rpvi","ave","gov","pres"
"1","01","LeRoy A Stumpf","Senate","DFL","R+3",-3.19022716002451,0.468097728399755,0.480260621481996,0.455934835317514
"2","02","Rod Skoe","Senate","DFL","R+4",-3.78048357779741,0.462195164222026,0.464447480048889,0.459942848395163
"3","03","Thomas M Bakk","Senate","DFL","D+10",10.0148022330657,0.600148022330657,0.610745614035088,0.589550430626225
"4","04","Kent Eken","Senate","DFL","D+3",3.36580578360679,0.533658057836068,0.546719598829921,0.520596516842215
"5","05","Tom Saxhaug","Senate","DFL","D+3",2.62792144945089,0.526279214494509,0.534752682367231,0.517805746621786
"6","06","David J Tomassoni","Senate","DFL","D+15",14.6796385278765,0.646796385278765,0.654376175355304,0.639216595202225
"7","07","Roger J Reinert","Senate","DFL","D+20",20.2986997288405,0.702986997288405,0.703723887375113,0.702250107201697
"8","08","Bill Ingebrigtsen","Senate","R","R+9",-9.17284723891391,0.408271527610861,0.411874154262517,0.404668900959205
"9","09","Paul E Gazelka","Senate","R","R+10",-10.4935478848155,0.395064521151845,0.406361559331715,0.383767482971975
"10","10","Carrie Ruud","Senate","R","R+5",-4.71398823459002,0.4528601176541,0.461100569259962,0.444619666048237
"11","11","Tony Lourey","Senate","DFL","D+6",6.26256807479684,0.562625680747968,0.565163904768797,0.56008745672714
"12","12","Torrey N. Westrom","Senate","R","R+6",-6.40751189206464,0.435924881079354,0.449242322649859,0.422607439508848
"13","13","Michelle L Fischbach","Senate","R","R+8",-7.85703989158374,0.421429601084163,0.425726326781785,0.41713287538654
"14","14","John C Pederson","Senate","R","D+1",1.35912571280958,0.513591257128096,0.509668508287293,0.517514005968899
"15","15","David M Brown","Senate","R","R+11",-10.5667195197834,0.394332804802166,0.395796914190165,0.392868695414168
"16","16","Gary H Dahms","Senate","R","R+6",-5.86058154720227,0.441394184527977,0.445555429307276,0.437232939748679
"17","17","Lyle Koenen","Senate","DFL","R+1",-1.31792707119211,0.486820729288079,0.493449781659389,0.480191676916769
"18","18","Scott J Newman","Senate","R","R+10",-10.0188152817253,0.399811847182747,0.406007211627821,0.393616482737673
"19","19","Kathy Sheran","Senate","DFL","D+6",6.33997892194536,0.563399789219454,0.564313058273075,0.562486520165832
"20","20","Kevin L Dahle","Senate","DFL","R+1",-1.35313369984559,0.486468663001544,0.489892457223105,0.483044868779983
"21","21","Matt Schmit","Senate","DFL","R+3",-2.65494834783395,0.473450516521661,0.46078431372549,0.486116719317831
"22","22","Bill Weber","Senate","R","R+6",-6.35641996562781,0.436435800343722,0.438086635510348,0.434784965177095
"23","23","Julie A Rosen","Senate","R","R+6",-5.59893742079995,0.444010625792001,0.447030527289547,0.440990724294454
"24","24","Vicki Jensen","Senate","DFL","R+3",-3.11546131907042,0.468845386809296,0.464029230187728,0.473661543430863
"25","25","David H Senjem","Senate","R","R+1",-1.30447642462072,0.486955235753793,0.46964425990349,0.504266211604096
"26","26","Carla J Nelson","Senate","R","R+1",-0.623085914819344,0.493769140851807,0.471923582643669,0.515614699059944
"27","27","Dan Sparks","Senate","DFL","D+6",6.16827098550235,0.561682709855024,0.534223121522238,0.589142298187809
"28","28","Jeremy R Miller","Senate","R","D+4",3.50403377188149,0.535040337718815,0.516191062225983,0.553889613211647
"29","29","Bruce Anderson","Senate","R","R+10",-10.4699072975728,0.395300927024272,0.39216491765321,0.398436936395335
"30","30","Mary Kiffmeyer","Senate","R","R+12",-12.0311770524233,0.379688229475767,0.372266666666667,0.387109792284866
"31","31","Michelle R Benson","Senate","R","R+13",-12.7652018507523,0.372347981492477,0.366066912349158,0.378629050635796
"32","32","Sean R Nienow","Senate","R","R+7",-6.58186664021945,0.434181333597806,0.439162198150214,0.429200469045397
"33","33","David J. Osmek","Senate","R","R+10",-10.3939524712506,0.396060475287494,0.38633439615148,0.405786554423508
"34","34","Warren Limmer","Senate","R","R+7",-6.81209403341687,0.431879059665831,0.420404909931452,0.44335320940021
"35","35","Branden Petersen","Senate","R","R+7",-6.76599966071918,0.432340003392808,0.425392765801973,0.439287240983643
"36","36","John A. Hoffman","Senate","DFL","D+1",0.880070118525533,0.508800701185255,0.498795716456071,0.518805685914439
